SKU_number,MAE,RMSE,MAPE
2000000,15.558488892623211,21.0590294773304,44.85356353203419
2000001,14.059448294169338,16.49992445064435,32.6453709252204
2000002,13.283990190843694,14.953894764014773,35.17720205051334
2000003,15.165870534633848,20.214182956277725,42.925890564208856
2000004,15.303291440593355,16.81877459360491,49.21272384792777
2000005,13.604805685772833,18.141718471261523,55.34302063272135
2000006,8.95139774513546,10.389240491109565,23.025173408963585
2000007,17.645154780783212,21.583511950819027,52.6521621257431
2000008,21.50427693300048,26.481014072197166,55.99298914775832
2000009,10.256430939466787,15.313812812551399,33.32276227841031
2000010,12.393929973873005,14.858558459363238,27.527584017322
2000011,14.246733778623897,16.356170412589915,50.073686632839554
2000012,7.115207999836495,8.565444042274935,19.392671138142703
2000013,14.642363102704943,17.776265303638393,59.13147430393496
2000014,11.16353478752188,16.79023470574627,65.4563732331354
2000015,4.4581087446959575,5.191525050876519,10.419958470000006
2000016,17.323394823526048,19.57880627829465,41.19624804226376
2000017,12.067235877454193,14.484260115159906,34.737541348781576
2000018,10.871180532808154,11.96910193241876,32.70743702354332
2000019,10.874901839967535,13.47056744046153,38.51556756768122
2000020,14.64377196262114,17.378231749526428,32.13482417208269
2000021,25.323378179098423,30.47894061366755,107.5115387485541
2000022,7.765700178884779,8.005720403802158,22.886021901121588
2000023,17.442646074665387,20.86830761745601,33.14154821272965
2000024,11.324719719373954,14.269036712327592,33.03844035432395
2000025,16.360085446467792,19.14510504854589,72.57699952401441
2000026,14.504723721034162,17.132335534509004,41.34774507149913
2000027,16.681150424993245,18.73031981661054,44.38342032323151
2000028,16.94495594676144,21.985878047751022,29.554444890290643
2000029,17.29491148229736,22.164041479892497,38.68906506685734
2000030,16.775161109398134,19.383239133992568,57.598184947518085
2000031,12.558970976210745,15.22948189077583,24.443831886018287
2000032,9.451857425754008,10.96873251620647,24.4633393774315
2000033,13.820815440083791,14.213543083446707,45.77660757122694
2000034,9.100155977928875,10.50934071546975,28.11098194335475
2000035,14.303917977020163,18.77370316279848,56.60224389765753
2000036,10.965938902539728,12.569752232141932,28.67589599491504
2000037,18.378503536936673,20.14368257056997,38.82118321840333
2000038,14.75422689211596,17.512847617063862,32.98138611957487
2000039,12.100116051823102,14.232272201399798,22.588612061554358
2000040,21.481880671358862,23.210196344728313,54.34406585223365
2000041,15.960813141425618,20.25404110139052,29.2374219921633
2000042,12.608328342161796,14.828093832023695,33.771270653259585
2000043,16.427133458893667,18.566213590624354,59.39083795280246
2000044,14.244422210446663,15.782646286040674,33.29644086717916
