SKU_number,MAE,RMSE,MAPE,Order
2000036,8.828874126857206,10.854768364960039,23.2260774690018,"(0, 0, 1)"
2000037,15.266666666666671,17.182549286994643,30.957833687347385,"(0, 0, 0)"
2000038,4.166666666666667,5.385783756025364,9.171060148469866,"(0, 0, 0)"
2000039,12.822222222222228,15.726446232735205,22.206107789319777,"(0, 0, 0)"
2000040,6.5,7.9068184358677325,15.904044483540025,"(0, 0, 0)"
2000041,8.988888888888894,13.042707626187996,15.302178864150251,"(0, 0, 0)"
2000042,9.544444444444439,11.511636624641074,32.1770952768701,"(0, 0, 0)"
2000043,14.90600701143993,16.507746484933676,55.71533017616641,"(2, 0, 0)"
2000044,9.833333333333334,10.433599570617995,24.23964614094224,"(0, 0, 0)"
2000045,7.999338194939836,9.073699006749477,19.298299465605297,"(0, 1, 1)"
2000046,7.222222222222217,8.159861109929098,16.70672772646455,"(0, 0, 0)"
2000047,12.983049880907586,13.792998086733448,30.221689937064504,"(1, 0, 1)"
2000048,16.722222222222225,20.19144483300897,29.778951460563224,"(0, 0, 0)"
2000049,18.494050220573573,20.289724555900513,67.56771675423781,"(2, 0, 0)"
2000050,11.01069229542,14.40304754100855,45.214963316712485,"(3, 0, 1)"
2000051,16.8634445825937,20.576993742333183,35.80628838348365,"(3, 0, 0)"
2000052,11.177777777777777,13.797785651650374,28.526376976744494,"(0, 0, 0)"
2000053,11.760927385593158,14.038040802766682,22.977928944751206,"(3, 0, 0)"
2000054,15.5,17.421251390184345,45.09177065244397,"(0, 0, 0)"
2000055,11.00729192569104,14.904485533559622,30.198864992264202,"(0, 1, 2)"
2000056,17.0,18.660713336371213,40.557426112981645,"(0, 0, 0)"
2000057,11.333333333333334,11.895097029168502,29.65076312964375,"(0, 0, 0)"
2000058,11.0,15.282669923805859,21.371444282194783,"(0, 0, 0)"
2000059,16.16666666666667,17.623374629546223,44.29149671573126,"(0, 0, 0)"
2000060,10.644444444444446,14.323872846871176,26.59605065319102,"(0, 0, 0)"
2000061,13.710548916375624,14.66260774998682,33.20070738461418,"(2, 0, 0)"
2000062,15.088888888888897,19.002806810223245,28.83439583258223,"(0, 0, 0)"
2000063,11.5,15.693912478693413,23.78706258005014,"(0, 0, 0)"
2000064,14.222222222222223,15.45333477135455,36.47594374296883,"(0, 0, 0)"
2000065,11.589435429921602,14.561357754987744,23.65290462962155,"(2, 0, 1)"
2000066,6.333333333333333,8.070247139269581,19.223921287413344,"(0, 0, 0)"
2000067,10.833333333333334,12.869688764258788,26.778113155506272,"(0, 0, 0)"
2000068,6.666666666666667,10.684568311354464,13.350803045924994,"(0, 0, 0)"
2000069,12.554948305659588,13.546793563300264,30.478068311764616,"(0, 1, 1)"
2000070,12.379443216364068,14.997014310967105,46.22532023413937,"(2, 0, 0)"
2000071,11.796340348187433,14.947602652771689,46.002002923854505,"(3, 0, 0)"
2000072,15.02222222222222,18.33381817540713,41.89492989492989,"(0, 0, 0)"
2000073,8.930063323284314,11.418718869816724,27.416655820919082,"(3, 0, 0)"
2000074,10.999999999999984,13.309353436169939,42.529614634877724,"(0, 0, 0)"
2000075,12.623433325599771,15.12428470118693,44.49302019423156,"(0, 0, 1)"
2000076,9.555555555555548,11.195237082497771,35.35528506399308,"(0, 0, 0)"
2000077,9.700000000000003,11.916655011649315,35.219335015661095,"(0, 0, 0)"
2000078,7.0,7.776674524928165,17.14288303189154,"(0, 0, 0)"
2000079,13.666666666666666,15.1254384693102,36.15700909869708,"(0, 0, 0)"
2000080,9.46666666666666,12.081252694429766,33.91550360208894,"(0, 0, 0)"
2000081,10.522222222222227,12.503954929896748,18.59488029933856,"(0, 0, 0)"
2000082,7.561317540714312,9.42720852239888,18.8576409165227,"(0, 0, 1)"
2000083,10.795772585186663,13.41784047498729,25.915608189252517,"(2, 1, 0)"
2000084,9.322222222222218,10.54561520253797,27.771660431849497,"(0, 0, 0)"
2000085,16.855555555555554,18.60612205102873,67.65170649324457,"(0, 0, 0)"
2000086,7.568197627216897,9.834234478091094,14.15952248493199,"(2, 0, 2)"
2000087,7.833333333333331,9.027735042633891,25.7714626220429,"(0, 0, 0)"
2000088,7.610772492979532,8.261468771373844,21.68975829100992,"(1, 0, 0)"
2000089,14.166666666666663,19.00657780874822,25.75220566435263,"(0, 0, 0)"
2000090,7.666666666666667,10.065838818057397,22.262403179872155,"(0, 0, 0)"
2000091,13.114026491429163,15.085707509653107,27.05460930545918,"(1, 0, 0)"
2000092,6.799668545914535,8.965132244673665,15.905529396842896,"(0, 0, 1)"
2000093,11.588888888888894,12.996324266670346,31.302205292581892,"(0, 0, 0)"
2000094,8.688888888888897,9.162483894180182,19.312427298858445,"(0, 0, 0)"
2000095,12.444444444444443,13.403979508588732,37.503336117276895,"(0, 0, 0)"
2000096,10.044444444444444,11.927605701806955,36.08205265900945,"(0, 0, 0)"
2000097,5.06429624401999,5.452037892929812,13.57777693969763,"(1, 0, 2)"
2000098,13.688888888888878,16.962573180059938,65.25218278524454,"(0, 0, 0)"
2000099,10.909576914895467,11.981544277735429,28.49128865285213,"(0, 0, 1)"
2000100,6.642372982718918,9.95994268330493,12.447979515951774,"(0, 0, 1)"
2000101,8.333333333333334,11.299410014096608,18.897877493106215,"(0, 0, 0)"
2000102,15.705813532649207,17.917123085749104,48.76544305486306,"(2, 0, 0)"
2000103,5.5,7.159608927867501,12.865767364866374,"(0, 0, 0)"
2000104,6.862532511859654,7.897504302900774,15.246033034063377,"(1, 0, 2)"
2000105,18.279516075413966,19.56485149566362,40.68453343871708,"(1, 0, 1)"
2000106,8.701149425124074,10.083721191161494,19.311041823772094,"(0, 0, 1)"
2000107,13.822222222222214,18.79388198324125,32.09655803609114,"(0, 0, 0)"
2000108,7.333333333333333,9.451690031123771,19.553450299537296,"(0, 0, 0)"
2000109,14.099999999999996,17.16605176892267,70.83610903667002,"(0, 0, 0)"
2000110,7.0,8.401388774085707,21.923584677747694,"(0, 0, 0)"
2000111,7.711111111111104,9.203924283816233,21.370361486951538,"(0, 0, 0)"
2000112,14.811111111111108,19.39112053377926,27.808179962591765,"(0, 0, 0)"
2000113,19.74444444444444,21.000238093888363,60.33880053616486,"(0, 0, 0)"
2000114,3.7222222222222214,4.085883557377086,8.339073953527267,"(0, 0, 0)"
2000115,6.754722717992276,9.107899732642467,21.003963651828215,"(2, 0, 0)"
2000116,10.722222222222229,13.700162205041394,22.316879948201862,"(0, 0, 0)"
2000117,12.811111111111117,18.086489739889036,21.610582063938068,"(0, 0, 0)"
2000118,7.5,11.31144946012176,25.142935145945973,"(0, 0, 0)"
2000119,7.711111111111109,9.987547802694666,28.15766280612218,"(0, 0, 0)"
2000120,16.04444444444445,18.833303834785166,31.423591961987217,"(0, 0, 0)"
2000121,13.922222222222212,18.514438809870637,131.0032056752486,"(0, 0, 0)"
2000122,10.623156571451055,13.542344241901874,21.931522755368814,"(0, 0, 1)"
2000123,15.317061490539432,16.638411069941704,34.019608824772156,"(3, 0, 1)"
2000124,9.122222222222225,10.640906394141851,18.01995893393743,"(0, 0, 0)"
2000125,7.177777777777777,7.878522140040675,23.72323663990331,"(0, 0, 0)"
2000126,4.811111111111127,5.570358057512016,10.938783258482324,"(0, 0, 0)"
2000127,15.74444444444444,18.222361110581815,43.591919911364336,"(0, 0, 0)"
2000128,9.417106273963308,10.887601328058071,29.913719491423347,"(0, 0, 1)"
2000129,10.399999999999999,13.73159374095617,25.31786130337062,"(0, 0, 0)"
2000130,15.451022444849784,18.137393667210745,49.47306742502629,"(1, 0, 0)"
2000131,6.711111111111123,10.944760288730768,11.710459114571224,"(0, 0, 0)"
2000132,8.311111111111115,11.258774356030056,36.32821986805726,"(0, 0, 0)"
2000133,9.422330450190252,10.407106899253732,22.979938743145294,"(2, 0, 0)"
2000134,16.564389273371802,23.11244411413307,28.26374866473898,"(0, 0, 1)"
2000135,15.063230874139764,17.680805005479296,50.48126036675518,"(0, 0, 1)"
2000136,8.677777777777775,9.46725350293784,27.69633942047734,"(0, 0, 0)"
2000137,9.188888888888883,10.4424879964286,28.231735798438994,"(0, 0, 0)"
2000138,5.833333333333333,6.843488389215937,12.542378917378919,"(0, 0, 0)"
2000139,5.74444444444444,7.707788269017255,16.031368193070303,"(0, 0, 0)"
2000140,6.157702702338976,8.254224939484354,20.76030519149398,"(0, 0, 1)"
2000141,9.833333333333334,13.242230426429932,24.94569486540155,"(0, 0, 0)"
2000142,13.544444444444443,15.854932635898798,29.007142224247477,"(0, 0, 0)"
2000143,4.8222222222222255,5.855766388782945,10.328025644692316,"(0, 0, 0)"
2000144,10.138026261067415,13.510227179140532,28.59087251519737,"(0, 0, 1)"
2000145,9.97502732312604,11.584199969282217,36.376872758430714,"(2, 0, 1)"
2000146,23.933197857724323,30.574497466261874,32.51862957898348,"(0, 0, 2)"
2000147,8.099999999999996,8.633655077659746,23.52777777777776,"(0, 0, 0)"
2000148,8.317400828477789,10.067906635383094,20.099207018084208,"(2, 0, 0)"
2000149,17.381965667003147,20.506705220358782,33.161943812459995,"(0, 0, 1)"
